MSI	lab	mode	pct
MSI	APC (79)	CNLOH	0.0506329113924051
MSI	APC (79)	HIT2	0.936708860759494
MSI	APC (79)	LOH	0.0126582278481013
MSI	ARID1A (39)	HIT2	1
MSI	B2M (41)	CNLOH	0.24390243902439
MSI	B2M (41)	HIT2	0.609756097560976
MSI	B2M (41)	LOH	0.146341463414634
MSI	PTEN (32)	HIT2	1
MSI	RNF43 (48)	CNLOH	0.229166666666667
MSI	RNF43 (48)	HIT2	0.770833333333333
MSI	TP53 (20)	CNLOH	0.05
MSI	TP53 (20)	HIT2	0.8
MSI	TP53 (20)	LOH	0.15
MSS	APC (1032)	CNLOH	0.202519379844961
MSS	APC (1032)	DEL	0.00968992248062015
MSS	APC (1032)	HIT2	0.553294573643411
MSS	APC (1032)	LOH	0.234496124031008
MSS	ARID1A (18)	HIT2	0.166666666666667
MSS	ARID1A (18)	LOH	0.833333333333333
MSS	B2M (11)	CNLOH	0.0909090909090909
MSS	B2M (11)	DEL	0.181818181818182
MSS	B2M (11)	HIT2	0.0909090909090909
MSS	B2M (11)	LOH	0.636363636363636
MSS	PTEN (59)	CNLOH	0.152542372881356
MSS	PTEN (59)	DEL	0.491525423728814
MSS	PTEN (59)	HIT2	0.0677966101694915
MSS	PTEN (59)	LOH	0.288135593220339
MSS	RNF43 (25)	CNLOH	0.24
MSS	RNF43 (25)	HIT2	0.04
MSS	RNF43 (25)	LOH	0.72
MSS	TP53 (981)	CNLOH	0.174311926605505
MSS	TP53 (981)	DEL	0.00611620795107034
MSS	TP53 (981)	HIT2	0.0489296636085627
MSS	TP53 (981)	LOH	0.770642201834862
