MSI	lab	mode	pct
MSI	ARID1A (86)	CNLOH	0.0813953488372093
MSI	ARID1A (86)	HIT2	0.906976744186046
MSI	ARID1A (86)	LOH	0.0116279069767442
MSI	PIK3R1 (10)	CNLOH	0.2
MSI	PIK3R1 (10)	HIT2	0.7
MSI	PIK3R1 (10)	LOH	0.1
MSI	PTEN (100)	CNLOH	0.41
MSI	PTEN (100)	HIT2	0.58
MSI	PTEN (100)	LOH	0.01
MSS	ARID1A (45)	CNLOH	0.333333333333333
MSS	ARID1A (45)	HIT2	0.511111111111111
MSS	ARID1A (45)	LOH	0.155555555555556
MSS	PIK3R1 (22)	CNLOH	0.136363636363636
MSS	PIK3R1 (22)	DEL	0.0909090909090909
MSS	PIK3R1 (22)	HIT2	0.5
MSS	PIK3R1 (22)	LOH	0.272727272727273
MSS	PTEN (90)	CNLOH	0.444444444444444
MSS	PTEN (90)	DEL	0.0444444444444444
MSS	PTEN (90)	HIT2	0.477777777777778
MSS	PTEN (90)	LOH	0.0333333333333333
