sample	chr	state	seg_id	min_start	max_end	mean_copy
61	1	3	762	1	58000000	0.452032221611268
61	1	2	763	58000001	249500000	0.0583242661008154
61	2	2	764	1	243500000	0.0203971638829576
61	3	3	765	1	70000000	0.236500764648677
61	3	2	766	70000001	198500000	0.0358265891540073
61	4	2	767	1	87000000	-0.0691130832802591
61	4	1	768	87000001	191500000	-0.377781788873412
61	5	1	769	1	103000000	-0.364542457812848
61	5	2	770	103000001	181000000	0.0416527162843337
61	6	2	771	1	171500000	0.0432753863893786
61	7	2	772	1	159500000	0.0981743897986206
61	8	2	774	1	146500000	-0.185806056498988
61	9	2	775	1	141500000	-0.0144832488209877
61	10	2	776	1	136000000	-0.0946845487683212
61	11	2	777	1	135500000	0.127632780555705
61	12	2	778	1	134000000	-0.00902029341322429
61	13	2	779	1	115500000	-0.0974618143529126
61	14	2	780	1	107500000	0.144589431149016
61	15	2	781	1	103000000	0.00556153136538078
61	16	3	782	1	90500000	0.208937626959826
61	17	3	783	1	81500000	0.15642798005131
61	18	2	784	1	78500000	-0.108852717716273
61	20	3	785	1	63500000	0.227829931320619
61	19	3	786	1	59500000	0.12317313288513
61	22	3	787	1	51500000	0.276447863953283
61	21	2	788	1	48500000	-0.011172852266106
94	1	4	789	1	42000000	1.12486460558349
94	1	4	790	42000001	63000000	0.589262803675896
94	1	2	791	63000001	249500000	0.05985480430273
94	2	2	792	1	38500000	0.0265126733936998
94	2	1	793	38500001	50000000	-0.836452559302102
94	2	2	794	50000001	243500000	0.0417880661858877
94	3	2	795	1	198500000	0.00666691893414888
94	4	2	796	1	191500000	-0.0240909747389636
94	5	2	797	1	181000000	0.0151755743185229
94	6	2	798	1	171500000	-0.0101158028716838
94	7	2	799	1	159500000	0.0281279064721723
94	8	2	801	1	146500000	-0.00999866721276444
94	9	2	802	1	141500000	0.0206196254691571
94	10	2	803	1	136000000	0.00672271320306777
94	11	2	804	1	135500000	0.0196983985906783
94	12	2	805	1	134000000	0.0278620014992639
94	13	2	806	1	47500000	-0.00113944808700731
94	13	1	807	47500001	59500000	-0.831809925587778
94	13	2	808	59500001	115500000	0.0423000397743692
94	14	2	809	1	107500000	0.0451961872827934
94	15	2	810	1	103000000	0.0516137768012696
94	16	2	811	1	90500000	0.12267195882344
94	17	2	812	1	81500000	0.0434960835837842
94	18	1	813	1	78500000	-0.839392315056073
94	20	2	814	1	63500000	0.0957122298522671
94	19	2	815	1	59500000	-0.032780434172668
94	22	2	816	1	51500000	0.0882185624528816
94	21	2	817	1	48500000	-0.0140724415574219
9	1	3	818	1	50500000	0.4681445556305
9	1	2	819	50500001	249500000	0.080309085368418
9	2	2	820	1	243500000	0.00919464683944465
9	3	2	821	1	198500000	-0.00585394142591975
9	4	2	822	1	191500000	-0.0148755825475096
9	5	2	823	1	181000000	-0.00278029132159595
9	6	2	824	1	171500000	0.00231797060832905
9	7	2	825	1	159500000	0.0606193724160434
9	8	2	827	1	146500000	-0.0165017792104983
9	9	2	828	1	141500000	0.0390090478398345
9	10	2	829	1	136000000	0.0574088926288593
9	11	2	830	1	135500000	0.0459626248958929
9	12	2	831	1	134000000	0.0911059174650029
9	13	2	832	1	45500000	-0.0346208831949077
9	13	1	833	45500001	60000000	-0.669030941596611
9	13	2	834	60000001	115500000	0.0134175868690406
9	14	2	835	1	107500000	0.146931186214087
9	15	2	836	1	103000000	0.0865329697822014
9	16	3	837	1	90500000	0.253664275336471
9	17	3	838	1	81500000	0.117122083274315
9	18	2	839	1	78500000	-0.0013422395391976
9	20	2	840	1	63500000	0.134548303263911
9	19	3	841	1	59500000	0.160107927251273
9	22	3	842	1	51500000	0.278956008937758
9	21	2	843	1	48500000	0.040205247888162
40	1	3	844	1	55500000	0.309364106163361
40	1	2	845	55500001	249500000	0.0571717344657553
40	2	2	846	1	38500000	0.0780173662364519
40	2	1	847	38500001	50000000	-0.821659081884852
40	2	2	848	50000001	243500000	0.0751971191354043
40	3	2	849	1	198500000	0.0490185885261734
40	4	2	850	1	191500000	0.070394893950246
40	5	2	851	1	181000000	0.0368332251667473
40	6	2	852	1	171500000	0.0603525463555421
40	7	2	853	1	159500000	0.0710320506966663
40	8	2	855	1	146500000	-0.00188641589792213
40	9	2	856	1	141500000	0.0268198118075528
40	10	2	857	1	136000000	0.0113774079492572
40	11	2	858	1	135500000	0.0380453356901465
40	12	2	859	1	134000000	0.055481134871838
40	13	2	860	1	115500000	-0.101235667590177
40	14	2	861	1	107500000	0.061468717303861
40	15	2	862	1	103000000	-0.0134900214366829
40	16	2	863	1	90500000	0.114586181328868
40	17	2	864	1	81500000	0.0483400315211555
40	18	2	865	1	78500000	-0.0431646102667316
